# Positron Data Export
# Export Date: 2026-02-02 16:37:34
#
# Scope Model: 3406D
# Serial Number: JZ254/0097
# Sample Rate: 250.00 MS/s
# Voltage Range: 100 mV (all channels)
# Capture Window: 2.996 µs (Pre: 0.996 µs, Post: 2.000 µs)
#
# Trigger Configuration:
#   Condition 1: A
#   Condition 2: B
#   Condition 3: C
#   Condition 4: D
#   Auto-trigger: OFF
#
# Calibration Status:
#   Channel A: Calibrated
#     Gain: 3.583508e-02 keV/(mV·ns)
#     Offset: -14.722541 keV
#     Date: 2026-02-02 10:30
#   Channel B: Calibrated
#     Gain: 3.755677e-02 keV/(mV·ns)
#     Offset: -19.619001 keV
#     Date: 2026-02-02 10:30
#   Channel C: Calibrated
#     Gain: 3.620966e-02 keV/(mV·ns)
#     Offset: -34.953938 keV
#     Date: 2026-02-02 10:29
#   Channel D: Calibrated
#     Gain: 3.946591e-02 keV/(mV·ns)
#     Offset: -21.964536 keV
#     Date: 2026-02-02 10:28
#
# Acquisition Statistics:
#   Total Events: 1,170
#   Elapsed Time: 00:00:09
#   Average Rate: 126.1 events/s
#
A_has_pulse,A_timing_ns,A_energy_kev,B_has_pulse,B_timing_ns,B_energy_kev,C_has_pulse,C_timing_ns,C_energy_kev,D_has_pulse,D_timing_ns,D_energy_kev
FALSE,0.000000,-14.151059,TRUE,1.424796,494.178296,FALSE,0.000000,-34.974249,FALSE,0.000000,-24.428716
FALSE,0.000000,-15.175706,FALSE,0.000000,-19.493111,FALSE,0.000000,-35.893746,TRUE,52.000000,549.843773
FALSE,0.000000,-14.833548,FALSE,0.000000,-18.666038,FALSE,0.000000,-34.622052,TRUE,92.000000,498.161559
FALSE,0.000000,-14.607879,FALSE,0.000000,-19.735878,FALSE,0.000000,-33.012008,TRUE,4.090276,270.220622
FALSE,0.000000,-15.063785,FALSE,0.000000,-19.258921,TRUE,1154.545634,1192.249714,TRUE,2.354681,451.457928
FALSE,0.000000,-14.492304,TRUE,2.568320,250.659501,FALSE,0.000000,-32.662581,FALSE,0.000000,-22.917232
FALSE,0.000000,-14.836289,TRUE,112.000000,351.182232,FALSE,0.000000,-33.471757,TRUE,2.666096,299.131897
FALSE,0.000000,-14.493217,FALSE,0.000000,-19.140144,TRUE,3.036021,216.801041,TRUE,1363.833899,117.827550
FALSE,0.000000,-14.263894,FALSE,0.000000,-20.918768,TRUE,1.437431,200.184352,FALSE,0.000000,-18.793227
FALSE,0.000000,-14.379469,FALSE,0.000000,-17.950141,TRUE,5.645545,524.360130,FALSE,0.000000,-20.663037
FALSE,0.000000,-13.921736,TRUE,9.999937,94.731854,FALSE,0.000000,-35.541549,FALSE,0.000000,-20.794840
FALSE,0.000000,-14.721627,TRUE,37.495945,89.984184,FALSE,0.000000,-35.082723,TRUE,2.124766,172.600280
FALSE,0.000000,-14.833548,TRUE,0.824117,507.941265,TRUE,3.085576,503.248182,FALSE,0.000000,-21.031386
TRUE,1.013982,184.814439,FALSE,0.000000,-18.786227,FALSE,0.000000,-35.773269,FALSE,0.000000,-24.042326
FALSE,0.000000,-15.518778,FALSE,0.000000,-20.090257,FALSE,0.000000,-32.205602,TRUE,0.198790,685.278274
TRUE,2.500975,231.659035,FALSE,0.000000,-19.375310,FALSE,0.000000,-35.429381,FALSE,0.000000,-29.060893
FALSE,0.000000,-15.292195,TRUE,0.571755,263.481759,FALSE,0.000000,-34.966863,FALSE,0.000000,-19.795537
FALSE,0.000000,-14.835376,FALSE,0.000000,-18.308321,FALSE,0.000000,-34.965940,TRUE,3.266486,490.761727
FALSE,0.000000,-15.517864,FALSE,0.000000,-19.968168,FALSE,0.000000,-34.501575,TRUE,0.328837,484.386382
FALSE,0.000000,-14.949124,TRUE,2.142071,523.498270,TRUE,6.256159,198.120107,FALSE,0.000000,-24.919848
FALSE,0.000000,-14.721627,FALSE,0.000000,-19.848928,FALSE,0.000000,-32.670890,TRUE,1.549665,483.121706
FALSE,0.000000,-14.607879,FALSE,0.000000,-19.495011,TRUE,8.000000,155.916853,FALSE,0.000000,-17.165976
TRUE,4.184329,509.995369,FALSE,0.000000,-19.255583,FALSE,0.000000,-36.348878,FALSE,0.000000,-19.656717
FALSE,0.000000,-15.631613,FALSE,0.000000,-18.543949,FALSE,0.000000,-35.310751,TRUE,0.372775,194.501280
FALSE,0.000000,-14.722541,TRUE,4.461211,505.332497,FALSE,0.000000,-34.734219,FALSE,0.000000,-23.423399
FALSE,0.000000,-15.061958,FALSE,0.000000,-20.916380,TRUE,4.040037,190.155482,FALSE,0.000000,-19.419169
